seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,tx_ids
chr7,121325367,121341104,15738,+,ENSG00000002745.13,8.02464755470324,-0.6924413956400128,0.16413046509082108,1.7338034262258804e-5,2.609505026588015e-5,
chr7,43112629,43566001,453373,+,ENSG00000002746.15,284.0195755321405,-0.7135254758719527,0.07248041159465854,4.6812622832448635e-23,1.266256538550505e-22,
chr7,1815793,2233243,417451,-,ENSG00000002822.16,348.0826743389756,0.2790292981216317,0.063056984162656,9.05319263982805e-6,1.382089273046154e-5,
chr17,38869859,38921770,51912,+,ENSG00000002834.19,9383.875019330622,-0.004167067834009834,0.03043935506410143,0.8907191608197103,0.9006878635026623,
chr17,48103357,48123601,20245,+,ENSG00000002919.15,715.4783996516495,0.5418456660862062,0.0345046687545803,1.1499637915686168e-55,5.925297950319026e-55,
chr7,150800403,150805118,4716,+,ENSG00000002933.9,97.19646058216685,-3.1804796932855175,0.2101955347217279,1.111501438648603e-52,5.4665167501471795e-52,
chr12,8940361,8949761,9401,-,ENSG00000003056.8,8214.091085847684,-0.16236613999648855,0.02427678024467749,2.323404194430019e-11,4.454603698372542e-11,
chrX,117897813,118117340,219528,-,ENSG00000003096.15,1125.1046686534453,-0.4657495781350713,0.07033848928057466,2.982537518365867e-11,5.693800990409582e-11,
chr2,72129238,72147862,18625,-,ENSG00000003137.9,4403.920586833369,0.9247717753387975,0.09061011490427537,1.0356269162486643e-24,2.929084198194131e-24,
chr7,8113184,8262687,149504,-,ENSG00000003147.19,268.9635925679454,-0.12322135398743078,0.08726534862225463,0.15563870260205706,0.17796733197476666,
chr16,90004871,90019890,15020,-,ENSG00000003249.15,38.94645584561067,-0.7730308054904909,0.1327676247461783,3.6338285556283933e-9,6.428333039516997e-9,
chr2,201700267,201782112,81846,-,ENSG00000003393.16,2775.0480179016413,0.04026475378330887,0.025332839781033904,0.11190542902184128,0.12996343382944484,
chr2,201182872,201229428,46557,+,ENSG00000003400.16,44.98957623741078,0.668443117075867,0.07434494980713141,1.4097271142558665e-19,3.479934701466189e-19,
chr2,201116154,201176687,60534,+,ENSG00000003402.21,13678.050553544792,2.057584787670937,0.04518134562846323,0,0,
chr2,187464230,187565760,101531,-,ENSG00000003436.16,7457.286212724148,0.7884013590234134,0.08660497910210574,3.8709471308831134e-23,1.049648383790462e-22,
chr2,37231631,37253403,21773,+,ENSG00000003509.16,1309.2028152318624,-0.09581769732728293,0.025959009498942608,2.0619368297993261e-4,2.92826173471225e-4,
chr3,50088919,50119021,30103,+,ENSG00000003756.17,9471.975329190629,-0.3607309146981751,0.03151039838286522,2.0313226512794233e-30,6.515669522131891e-30,
chr8,17296794,17413528,116735,-,ENSG00000003987.14,1462.3316399279495,3.9511226965788713,0.07673898975788272,0,0,
chr8,17497088,17570573,73486,+,ENSG00000003989.18,727165.7609531421,5.455715389781182,0.08695296575223768,0,0,
chr7,127588386,127591700,3315,+,ENSG00000004059.11,1467.3716455198407,-0.27366166350595694,0.027293197379033116,1.0933842619082347e-23,3.013222682942627e-23,
chr17,28364356,28404049,39694,+,ENSG00000004139.14,991.7629790347738,-0.36674159866943207,0.04160442277533938,4.326461523976611e-18,1.0253181869833915e-17,
chr17,28346633,28357527,10895,-,ENSG00000004142.12,3751.6998935984207,0.022991417333823976,0.025327324183928482,0.36208073385331335,0.3944297731845306,
chr3,129555214,129606676,51463,-,ENSG00000004399.13,2452.25960689888,-1.079028218060999,0.04560346375941963,4.098152917911828e-125,5.35841023127759e-124,
chr1,33007986,33080996,73011,-,ENSG00000004455.18,10394.250238176759,0.9734236043873368,0.03677563753834067,1.150026157791368e-154,2.009071376866642e-153,
chr4,15778275,15853232,74958,+,ENSG00000004468.13,1631.194403413521,6.0843289563465115,0.12576156584110018,0,0,
chr12,2794970,2805423,10454,+,ENSG00000004478.8,5422.254008467808,1.217608662339789,0.04192285078970421,7.261541719910527e-186,1.6762421155841367e-184,
chr1,23019443,23083689,64247,+,ENSG00000004487.18,3998.802251350249,0.19472987070833128,0.018412592897023773,2.752829953223443e-25,7.876417221432242e-25,
chr3,49940007,50100045,160039,+,ENSG00000004534.15,6213.57693193996,0.01954152288468189,0.03909964264397711,0.6064529714459289,0.6354939169820294,
chr17,3860315,3894891,34577,-,ENSG00000004660.15,854.7351578670846,-1.5474934229430393,0.07837595584474251,2.1784612561389053e-87,1.7887046096731585e-86,
chr12,21468910,21501669,32760,-,ENSG00000004700.16,6603.635023854579,0.8089376842123558,0.04078097407847862,7.698489921776695e-88,6.352696107409738e-87,
chr7,93232340,93361123,128784,+,ENSG00000004766.17,1297.4854014187158,-0.7814030540073899,0.050219457821053776,9.3704551212089e-55,4.755125646194863e-54,
chr19,35754566,35758079,3514,-,ENSG00000004776.13,607.7451515947771,-3.0593615322666703,0.12279223023615635,5.000091487409647e-138,7.4855738578501705e-137,
chr19,35774532,35788822,14291,+,ENSG00000004777.19,90.9892417688965,-2.3039717960884807,0.10833374345347632,1.1310013198694495e-102,1.13002421289764e-101,
chr16,23581014,23596316,15303,-,ENSG00000004779.10,584.3463323284316,0.36469733299726287,0.04853085862740375,4.524362458415364e-14,9.492788793826866e-14,
chr7,95583499,95596516,13018,-,ENSG00000004799.8,23556.447987322455,-5.146367124377237,0.15162000009325052,1.0423103551088218e-253,4.0114207177482615e-252,
chr3,50341110,50345732,4623,-,ENSG00000004838.14,31.916292431503734,-0.8304113893427626,0.11391494384229833,1.1771259038592447e-13,2.439906994915703e-13,
chr7,20615667,20777038,161372,+,ENSG00000004846.17,9.184470512778145,-0.12039175572009915,0.14414226222587379,0.39264329156382555,0.4254386721258858,
chr7,96120220,96322147,201928,-,ENSG00000004864.14,1906.2537742973195,-0.3926579334283521,0.026630697155619797,3.049601712450929e-49,1.414706931588247e-48,
chr7,116953238,117230176,276939,+,ENSG00000004866.22,1872.1847507344078,0.27231179279426754,0.028269096387839837,4.0899171133892843e-22,1.08114037523079e-21,
chr17,47117703,47189422,71720,-,ENSG00000004897.12,6942.578412121869,0.47434806549208,0.030613047785280404,7.61504890037257e-55,3.874528839982788e-54,
chr17,44248390,44268141,19752,-,ENSG00000004939.16,8.867159631381282,0.3142862021956481,0.10800062923732608,0.00334009100865468,0.004402068662688476,
chr7,93424486,93574730,150245,-,ENSG00000004948.16,5.12148927887692,-0.6730104958020598,0.17552142070394022,9.453794907057481e-5,1.370347033905117e-4,
chrX,11111301,11123086,11786,+,ENSG00000004961.15,900.5385511312999,0.5476209881740449,0.03734163020435348,7.4502219391862e-49,3.432741702258502e-48,
chr17,7225342,7234517,9176,-,ENSG00000004975.12,2105.449717959537,-0.4503928526393929,0.024648168928562142,2.168512885032521e-75,1.4967980611997079e-74,
chr19,18831959,18868230,36272,+,ENSG00000005007.14,3249.6602868850177,-0.23417709422405172,0.02696812083483854,3.675857592211835e-18,8.728322154589853e-18,
chr7,26667068,26995239,328172,-,ENSG00000005020.13,3657.6465707689713,0.0783854659717671,0.03531690623363175,0.026197996512788434,0.032376557989997674,
chrX,119468422,119471396,2975,+,ENSG00000005022.6,4969.908122951452,0.1360265839660857,0.03869476022212005,4.2347296443939693e-4,5.911243009947648e-4,
chr4,109560209,109688719,128511,+,ENSG00000005059.16,663.6741990380525,0.031727703284462463,0.048813533545281076,0.5153541390901435,0.5476244423740074,
chr7,27181157,27185232,4076,-,ENSG00000005073.6,1247.7608835858211,-0.49178177866576395,0.04811754553614747,2.7846937314200336e-24,7.793099335480385e-24,
chr7,102473128,102478922,5795,-,ENSG00000005075.16,1066.7815846645703,-0.2907166002835545,0.031509943007252024,2.6639636041247072e-20,6.699736671023647e-20,
chr17,5440917,5468982,28066,-,ENSG00000005100.13,1388.631134145082,0.19923585273150785,0.03605935787344378,2.3730613797204704e-8,4.0712735286259066e-8,
chr17,43640389,43661922,21534,-,ENSG00000005102.14,7.2654957914600145,1.5012044486834806,0.15214964671132858,1.5253402374333903e-23,4.1876699930960614e-23,
chr7,11370365,11832198,461834,-,ENSG00000005108.17,226.74020742742204,-1.26635679960138,0.11944997215645196,1.0086859557698283e-26,2.978540298347521e-26,
chr17,34980512,35009743,29232,+,ENSG00000005156.12,2288.572348625577,0.18564175305517439,0.04287278332296497,1.71279158770398e-5,2.5785517719079055e-5,
chr12,47661249,47706030,44782,-,ENSG00000005175.10,2012.6353827546143,0.4287516048585638,0.04991652908291693,4.783256404693693e-18,1.13194925967429e-17,
chr16,20610243,20797581,187339,+,ENSG00000005187.12,60.556905667715235,-1.240040907741451,0.10111943924074396,2.977527309960313e-35,1.0600308862456832e-34,
chr16,20806429,20849665,43237,+,ENSG00000005189.20,205.64378481501305,-0.9848438205753087,0.08516513287859691,3.102670231220739e-31,1.0140562731119923e-30,
chr16,57428187,57447420,19234,-,ENSG00000005194.15,1250.760295159261,0.24950033071007183,0.03630131266901042,6.029924562711792e-12,1.1791693873480195e-11,
chr19,2328615,2355095,26481,+,ENSG00000005206.17,349.27300808504697,-0.5202060776222405,0.04614186562148853,1.570788690427995e-29,4.9512595270645296e-29,
chr9,35104112,35116341,12230,-,ENSG00000005238.20,1844.2513055159045,1.1892701183125447,0.04316570869519828,1.2875657468356729e-167,2.536745802752054e-166,
chr17,48026167,48038030,11864,-,ENSG00000005243.10,1478.2186066398779,-1.5936344342435864,0.07668858717264972,1.7260503804314884e-96,1.600142096167548e-95,
chr7,107044705,107161811,117107,+,ENSG00000005249.14,5357.3290007263395,1.0464646550889805,0.11624877609242261,1.4132747568920084e-19,3.488319829998096e-19,
chrX,11758159,11775772,17614,+,ENSG00000005302.19,1107.2663741210529,-0.07229228074043587,0.03880901058967046,0.07273260062760205,0.08612189272634561,
chr16,3725054,3880713,155660,-,ENSG00000005339.15,6152.042240935139,0.08712332624584111,0.028758920312151715,0.0024671075581823394,0.003284270378173094,
chr17,58301228,58328795,27568,-,ENSG00000005379.17,371.9310635883978,-3.046045025585086,0.09694892141876152,9.286910484148727e-219,2.7860731452446182e-217,
chr17,58269855,58280935,11081,-,ENSG00000005381.9,26.41196428336559,-2.2621783331468532,0.12113396952260796,3.633930268350166e-79,2.6440014818162734e-78,
chr7,95297676,95324532,26857,-,ENSG00000005421.9,13.413538418241142,0.31582815167051576,0.14000101823005248,0.020413351751973507,0.025443812363159308,
chr2,75652000,75710985,58986,-,ENSG00000005436.14,579.7935506046485,-0.42491652590783857,0.04195914900684074,3.85182211301586e-24,1.0732760567890234e-23,
chr2,74421678,74425755,4078,+,ENSG00000005448.17,604.7326878603583,0.60109131967746,0.0484027366382878,1.7427908303400277e-35,6.236193054728471e-35,
chr7,87345664,87399794,54131,+,ENSG00000005469.12,993.6424423779575,-0.8231564490590841,0.03971348443020159,1.4937894293793707e-95,1.3683702772889044e-94,
chr7,87401696,87480435,78740,-,ENSG00000005471.19,486.86997665554645,-3.1054513374082626,0.13872103184814405,4.662066566236385e-112,5.211870453216413e-111,
chr7,104940943,105115019,174077,+,ENSG00000005483.23,20649.922679225994,1.4788492138670135,0.037893206872453365,0,0,
chr7,75842602,75888926,46325,+,ENSG00000005486.17,1084.5989279119528,-0.13922264988366886,0.036259937152867815,1.2181533803203353e-4,1.7544139281948538e-4,
chr16,981444,986979,5536,+,ENSG00000005513.11,553.472586210811,-1.437078303420136,0.1032934534864424,1.6231692475674674e-44,6.881214203855483e-44,
chr6,82169986,82247754,77769,-,ENSG00000005700.15,11658.153743881248,0.8702142253568936,0.047314272093733574,7.328414081816267e-76,5.091229706744631e-75,
chr11,3339261,3379222,39962,-,ENSG00000005801.18,947.8308715066137,0.14833785271103161,0.04135651532857528,2.0731446592464893e-4,2.943997787842049e-4,
chr13,77042474,77327094,284621,-,ENSG00000005810.20,12557.311257718924,-0.13180458453338195,0.029986032032222363,3.2060448358755946e-5,4.7615138727239315e-5,
chr13,76992598,77027195,34598,-,ENSG00000005812.11,7067.739948004565,0.17857414964504859,0.02591884073099251,6.0127854845527115e-12,1.1759172085711019e-11,
chr16,30472658,30523567,50910,+,ENSG00000005844.19,43.85142566213042,0.3812040017267806,0.07814762460602849,8.815666511783557e-7,1.4144448280906886e-6,
chr17,50094737,50112152,17416,+,ENSG00000005882.12,1275.277582002062,-0.7002415134959968,0.03873305506387589,3.9056410202499e-73,2.6033854985123974e-72,
chr17,50055968,50090481,34514,+,ENSG00000005884.18,3077.3323772967706,-0.892663251265477,0.07448231237120513,2.4568337680159513e-33,8.408784411691174e-33,
chrX,24149173,24216255,67083,+,ENSG00000005889.16,5948.453511110578,0.571204938896247,0.039321178648209935,7.582779361938018e-48,3.4316119475958983e-47,
chrX,120426148,120469365,43218,-,ENSG00000005893.17,23120.15554606177,-0.2724622981381035,0.03645532789158942,7.659163062041933e-14,1.5955727427274602e-13,
chr17,44372180,44389649,17470,-,ENSG00000005961.19,53.58470058500083,-1.5360518872672382,0.10171033974811074,9.13456140860678e-53,4.50207554615544e-52,
chr7,95478444,95540233,61790,+,ENSG00000005981.13,73.18592579061001,-0.3107887105271444,0.12029014795110717,0.008966739110953345,0.011489705591731809,
chr16,19501693,19522123,20431,-,ENSG00000006007.12,4623.29041519328,0.050523608107510456,0.03768146830693605,0.17051370905969274,0.19405540693518467,
chr19,18588685,18592337,3653,+,ENSG00000006015.18,151.00068364954987,-0.9145355469679236,0.06303049203029285,4.133706416375847e-48,1.8802876973603411e-47,
chr19,18572220,18607741,35522,-,ENSG00000006016.12,1234.9143493475717,-0.3975018910328118,0.10751968803885292,2.1057967245617401e-4,2.989264651964714e-4,
chr17,47807372,47821803,14432,-,ENSG00000006025.13,164.77510356143907,-1.4617454077565555,0.08450737840589569,9.853919385251766e-68,6.105576088424145e-67,
chr17,32927910,32945106,17197,+,ENSG00000006042.12,5086.425982495974,-1.0750871873771526,0.04019100654175485,2.548123256741362e-159,4.648114426532153e-158,
chr17,7288263,7294639,6377,-,ENSG00000006047.13,4.404449631196317,-1.4106318824253987,0.22549706289200439,1.8802228187927586e-11,3.61389012786077e-11,
chr17,45263119,45317029,53911,-,ENSG00000006062.18,415.8462992150265,-0.8018531663038725,0.05357606533419605,1.0612221185197707e-50,5.056874248323506e-50,
chr11,17392498,17476894,84397,-,ENSG00000006071.16,37.339052300668975,-1.3736301215386197,0.17249809670475028,4.049275253190613e-16,9.082596645296633e-16,
chr11,60924460,60937159,12700,+,ENSG00000006118.15,1570.8161388233195,7.521375440625417,0.12099818176797561,0,0,
chr17,35578046,35726413,148368,+,ENSG00000006125.18,16407.28340160239,-0.3068760797943004,0.02587628953067387,1.6682682692618934e-32,5.601254908989344e-32,
chr7,97732084,97740472,8389,+,ENSG00000006128.12,107.16207326891363,0.9383755490427662,0.13941386337120754,8.970701349012085e-12,1.744072641864752e-11,
chr16,3283283,3301401,18119,+,ENSG00000006194.11,1489.5908703226676,0.19435351305719276,0.024385238807613407,1.656275086743822e-15,3.649232497274205e-15,
chr16,57372477,57385044,12568,+,ENSG00000006210.7,4226.414034388237,4.216072842946011,0.12087370811791252,6.030320994012964e-268,2.582987492435553e-266,
chr17,50543058,50555852,12795,+,ENSG00000006282.22,1315.3534964420296,-1.548802063897063,0.07327605319633435,5.862131600768671e-99,5.598311475052822e-98,
chr17,50560715,50627474,66760,+,ENSG00000006283.18,40.63936602889645,0.946166148356954,0.11567750903515825,1.4391426473462288e-16,3.2666702093344726e-16,
chr16,3018445,3022383,3939,+,ENSG00000006327.14,1380.6242717032414,0.7240299440134038,0.10430558174614979,1.208449012303288e-12,2.4198273443489782e-12,
chr7,97005553,97011040,5488,+,ENSG00000006377.11,231.17406466719973,-1.6216476507539892,0.061735298515018223,1.3707025060857407e-152,2.3467319737796583e-151,
chr14,70722526,70809534,87009,-,ENSG00000006432.16,425.89896343587543,0.8646581715658842,0.05837141964296509,4.282920705115178e-50,2.017595843366885e-49,
chr7,39623565,39708120,84556,+,ENSG00000006451.8,1150.4262616133387,0.13707233118862455,0.039240317735240934,4.711366556044002e-4,6.557977278768597e-4,
chr7,98291650,98401090,109441,-,ENSG00000006453.14,3096.7847590818606,1.6138987339686,0.059879661845675544,1.3517814941700164e-160,2.497340731641572e-159,
chr7,140084746,140176983,92238,-,ENSG00000006459.11,17466.490534795896,1.7598964268907331,0.06627076899180073,4.836574589594367e-156,8.559293822289036e-155,
chr7,13891229,13991425,100197,-,ENSG00000006468.15,824.4206535212246,-0.9288324643124244,0.09235835265069654,4.553998405229055e-24,1.266642413575614e-23,
chr7,141551278,141655244,103967,+,ENSG00000006530.18,1251.418945816591,-0.09971095727870567,0.041634228427790514,0.017937558428485444,0.02246808872797944,
chr11,68008578,68029282,20705,+,ENSG00000006534.17,1034.3555856038772,-0.30108376084646044,0.05291361568938507,1.2786711269240408e-8,2.2173986479047132e-8,
chr1,54779712,54801323,21612,-,ENSG00000006555.11,75.67254493135415,-1.4470416418938588,0.10123365788895178,7.040006597532073e-47,3.127239343209465e-46,
chr7,77798773,77957503,158731,+,ENSG00000006576.17,6796.506793693575,-0.9869245434762128,0.03532785600091717,1.6096819675934709e-173,3.3481963948234697e-172,
chr7,75769533,75789896,20364,-,ENSG00000006606.9,4.800408923398268,-0.014211874072124653,0.19478637836631618,0.93945250564421,0.9452967527537555,
chr2,241356285,241494841,138557,+,ENSG00000006607.14,1332.6974153256494,0.24904475362327577,0.038673094169866674,8.178216919783078e-11,1.537653693339153e-10,
chr11,17493895,17544416,50522,-,ENSG00000006611.17,8.800694584618077,-2.4386276515266365,0.2264772817188854,5.284392245028265e-29,1.645060466049849e-28,
chr7,30496621,30504841,8221,-,ENSG00000006625.18,673.3495346130728,-0.24121863347299416,0.044101594312458116,4.706346116992629e-8,7.984288226935566e-8,
chr7,87876216,87909553,33338,+,ENSG00000006634.8,550.7575291879988,0.1369808964801341,0.04377784593363926,0.0016961315426384394,0.002281389664111842,
chr19,3594507,3606875,12369,-,ENSG00000006638.13,91.37867304402342,-0.04712032565296906,0.061024755901952533,0.44002888601892676,0.4730152034957371,
chr7,112422887,112481017,58131,+,ENSG00000006652.15,5324.302143278682,-0.06295506529957733,0.06066731120748964,0.30987211112581065,0.3405883829281506,
chr17,14069490,14231736,162247,+,ENSG00000006695.12,429.00779153512735,-0.05041680559875328,0.04499279218787403,0.26186831568107577,0.2908669872120285,
chr7,74453790,74602605,148816,+,ENSG00000006704.11,1621.842085876713,0.05534611582141861,0.04262142542794173,0.18173525516632755,0.20602541057673654,
chr19,39385629,39391154,5526,-,ENSG00000006712.15,2622.3624091020542,0.22261553360572964,0.026915629466465824,1.4662200453781553e-16,3.3274793612241694e-16,
chr7,38722974,38932394,209421,-,ENSG00000006715.16,5345.69822851446,-0.6604446637329715,0.024671653238774422,5.3644425834513255e-158,9.693715387127278e-157,
chr17,12789498,12991643,202146,+,ENSG00000006740.18,115.87794973443833,0.1885204053374202,0.09865146971654992,0.05431962598541218,0.06524447987965849,
chr17,12991612,13018065,26454,-,ENSG00000006744.19,1421.628195799614,-0.7194544587049506,0.04345926449847375,9.891894406771387e-62,5.610581599524821e-61,
chr7,12570577,12660182,89606,+,ENSG00000006747.15,10133.907148842243,-1.5800906337371579,0.07257198030066563,1.3371451359932798e-105,1.3881583032102585e-104,
chrX,2903972,2929349,25378,-,ENSG00000006756.16,1830.8021918164384,-0.9462906005927844,0.04015925919361181,5.436763842879735e-122,6.864211118220976e-121,
chrX,7898247,7927739,29493,-,ENSG00000006757.12,497.7657220525856,-0.3872873645997056,0.05450395651422469,1.1146625854971262e-12,2.2347356854076912e-12,
chr12,1688574,1788674,100101,+,ENSG00000006831.10,5451.038440847805,0.2648853431618191,0.023145974003349064,6.569437274507632e-31,2.1311512504819288e-30,
chr5,134286350,134371047,84698,-,ENSG00000006837.12,219.21872117676205,0.01882856885806271,0.04251781207945748,0.6575170831809516,0.6842295466763582,
chr19,45079288,45305284,225997,+,ENSG00000007047.16,805.2326648318227,0.10889668537819347,0.055671945564766415,0.05073370277523129,0.06110234549289766,
chr19,17933015,17943991,10977,+,ENSG00000007080.11,278.93405067615083,-0.014887657059167416,0.0744394613670025,0.840102389754108,0.8546984066422925,
chr19,41549518,41586844,37327,+,ENSG00000007129.18,4.211063996331592,-3.1302587591634943,0.28131189002640805,2.499424753245839e-29,7.838873836281526e-29,
chr17,2593210,2685615,92406,+,ENSG00000007168.14,10210.500287207238,0.0452223520320856,0.023381480172692024,0.0530830165292425,0.0638121808804833,
chr17,27756766,27800529,43764,-,ENSG00000007171.19,289292.00629404007,7.240065385984479,0.17595589391724228,0,0,
chr17,11598470,11969748,371279,+,ENSG00000007174.18,35.31100178935247,-0.9728872128058893,0.12101972025504605,3.034796913103932e-16,6.8329458386152e-16,
chr17,28614446,28645454,31009,-,ENSG00000007202.16,11437.692460287466,0.14441335569785713,0.02998206583545167,1.918851108519964e-6,3.0272850515017233e-6,
chr17,9910606,10198606,288001,-,ENSG00000007237.19,18744.61921111761,3.9765776493216305,0.08689575377335401,0,0,
chr19,45162928,45178237,15310,-,ENSG00000007255.10,83.84760651911473,-2.1509646231579387,0.09211923534935212,3.0221410835290396e-121,3.780536682640708e-120,
chr17,63928738,63932336,3599,-,ENSG00000007312.14,315.32767154025413,-2.2492657234898696,0.06454695217472581,1.0526440080020384e-266,4.4430029023881656e-265,
chr17,63938554,63972918,34365,-,ENSG00000007314.12,34.25395852600286,-2.3531887385459367,0.16293415074042567,3.73308891588785e-50,1.760733006208931e-49,
chr1,112523514,112620825,97312,-,ENSG00000007341.19,1027.277444593,-0.08808261797210987,0.04685266137085025,0.0585917824232239,0.0701427424796423,
chr11,31784779,31817961,33183,-,ENSG00000007372.25,31.223915008914943,0.21290359715270493,0.10709456246199352,0.04457208439279137,0.05393984785252259,
chr16,784974,788397,3424,-,ENSG00000007376.8,66.68633104024283,-0.35258279691046485,0.061309957773131474,8.777176261327822e-9,1.530925925077389e-8,
chr16,58059,76355,18297,-,ENSG00000007384.15,962.8608843973797,0.2674369240004903,0.040198744681390196,2.6703293599326504e-11,5.108744259325244e-11,
chr16,188969,229463,40495,-,ENSG00000007392.17,1822.9958813805488,-0.053955804380215064,0.04010914987080445,0.179734226110681,0.20383685461829132,
chr3,50362613,50504244,141632,-,ENSG00000007402.12,179.66040298482963,-0.6295006481609523,0.07429364936144929,1.698216183358781e-17,3.952877158205556e-17,
chr16,1349240,1351878,2639,-,ENSG00000007520.4,237.23386311726657,-0.3640744211378686,0.051302227638025985,1.345922354202294e-12,2.6904488853771547e-12,
chr16,566995,584109,17115,+,ENSG00000007541.17,359.08116224802234,-0.29892169011468595,0.03860158798833499,9.277290693168937e-15,1.989465360031499e-14,
chr16,1612337,1677908,65572,+,ENSG00000007545.16,2529.2891564380593,1.0407560431186538,0.02930950363625926,1.2386363945475913e-276,5.6619881039299975e-275,
chr6,35473597,35497079,23483,-,ENSG00000007866.22,904.6983387347506,0.39774819532584715,0.041169954639485404,2.4810610269989505e-22,6.587114503499281e-22,
chr1,169722640,169764705,42066,-,ENSG00000007908.16,156250.52659137922,10.340173890370412,0.22607604982685398,0,0,
chr1,6634168,6701924,67757,-,ENSG00000007923.17,1962.0318894720688,-0.2588275412021795,0.055413878252230514,2.8700515667953e-6,4.4933188533894195e-6,
chr1,171090901,171117819,26919,+,ENSG00000007933.13,27.87144275941531,-0.2417508627857629,0.09900236566598139,0.014047134195703394,0.01774302173146677,
chr6,16129086,16148248,19163,+,ENSG00000007944.15,1428.8876544346272,-0.096595321554204,0.05210399463404631,0.06372242901942919,0.07595463969180094,
chr1,23506438,23531233,24796,-,ENSG00000007968.7,66.84747233010957,-0.7326966273000578,0.12853336083312036,8.012644587471825e-9,1.4001093095733423e-8,
chr6,170535120,170553307,18188,-,ENSG00000008018.9,6746.847289902137,0.1934690009814995,0.026556378706107976,3.2055447531143147e-13,6.546447415458926e-13,
chrX,47571901,47619857,47957,-,ENSG00000008056.14,123.20517729887003,-0.12788189280862883,0.1284998882339146,0.31291397918885755,0.34378474985219565,
chr6,15246069,15522042,275974,+,ENSG00000008083.14,1029.3740719816974,1.538014015512339,0.04765014462316309,4.253587466819965e-229,1.385710959261208e-227,
